Name,Theme,Media Type,Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty,
Divyansh,Nostalgia,Bollywood,"In Bhool Bhulaiyaa, what name is linked to Avni's haunting alter ego?",Manjulika,Chandramukhi,Nandini,Mohini,Option A,4,
Divyansh,Nostalgia,Bollywood,What is Baburao's surname in Hera Pheri?,Deshmukh,Apte,Kulkarni,Shenoy,Option B,4,
Divyansh,Nostalgia,Bollywood,What is the name of Krishna's father in Krrish?,Sanjay Mehra,Arjun Mehra,Raj Mehra,Rohit Mehra,Option D,3,
Divyansh,Nostalgia,Internet culture,What was Yahoo Messenger's famous attention-grabbing nudge called?,Ping,Flash,Buzz,Zap,Option C,4,
Divyansh,Nostalgia,Internet culture,Which company made Gtalk?,AOL,Microsoft,Yahoo,Google,Option D,2,
Divyansh,Nostalgia,Mobile phones,Which phone brand is most linked with the classic game Snake?,Nokia,Motorola,Sony Ericsson,Samsung,Option A,2,
Divyansh,Nostalgia,Cricket,India defeated which team in the 2007 ICC T20 World Cup final?,Pakistan,England,Sri Lanka,Australia,Option A,3,
Divyansh,Nostalgia,Cricket,Yuvraj Singh hit six sixes in an over off which bowler?,Stuart Broad,Graeme Swann,Andrew Flintoff,James Anderson,Option A,3,
Divyansh,Nostalgia,Cricket,Which team won the IPL in 2009?,Royal Challengers Bangalore,Mumbai Indians,Chennai Super Kings,Deccan Chargers,Option D,4,
Divyansh,Nostalgia,Cricket,India beat which team in the final of the 2013 Champions Trophy?,Sri Lanka,South Africa,England,Pakistan,Option C,2,
Divyansh,Nostalgia,Computers,Microsoft Encarta was primarily what kind of product?,Photo editor,Digital encyclopedia,Typing tutor,Antivirus,Option B,4,
Divyansh,Nostalgia,Pop culture,WWF changed its name to WWE after a dispute with which organization?,World Wrestling Federation UK,World Fight Federation,World Wildlife Fund,World Fitness Forum,Option C,5,
Divyansh,Gen Z,Slang,What does IYKYK stand for?,"It's your key, your kingdom","I yield, keep your knowledge","If you keep yelling, know","If you know, you know",Option D,1,
Divyansh,Gen Z,Social media,"What does it mean when someone gets ""ratioed"" online?",Their post is removed for copyright,Their comments are turned off,A reply or quote gets more engagement and makes them look bad,They lose followers after going private,Option C,4,
Divyansh,Gen Z,Slang,"What does ""gaslighting"" mean?",Posting fake luxury photos,Ignoring messages for days,Manipulating someone into doubting their reality,Making a joke about a serious issue,Option C,4,
Divyansh,Gen Z,Internet safety,"What is ""catfishing""?",Using a fake online identity to deceive someone,Leaking private screenshots,Editing photos heavily,Hacking a verified account,Option A,2,
Divyansh,Gen Z,Instagram,What is Instagram's side-by-side reaction video format called?,Collab,Remix,Blend,Duet,Option B,4,
Divyansh,Gen Z,Apps,"On Discord, what are most communities called?",Servers,Clubs,Pods,Rooms,Option A,1,
Divyansh,Gen Z,Social media,"On Reddit, what is the public score from upvotes commonly called?",Karma,Influence,Rank XP,Cred,Option A,4,
Divyansh,Gen Z,Internet culture,"What does ""lurking"" mean online?",Running multiple fake accounts,Following only private accounts,Reading or watching without posting,Deleting old content quietly,Option C,4,
Divyansh,Gen Z,Games,Which Minecraft mob is known for exploding near players?,Enderman,Skeleton,Creeper,Slime,Option C,1,
Divyansh,Gen Z,Games,"In Valorant, the Spike is used for what objective?",Unlocking agent abilities,Reviving teammates,Purchasing weapons,Planting or defusing the bomb,Option D,2,
Divyansh,Gen Z,Games,What is Fortnite's best-known main mode?,Team Deathmatch,Battle Royale,Search and Destroy,Payload Escort,Option B,2,
Divyansh,Gen Z,Web series,What is Prajakta Koli's character name in Mismatched?,Dimple Ahuja,Anmol Malhotra,Namrata Bidasaria,Celina Matthew,Option A,4,
Divyansh,Gen Z,Web series,Mismatched is based on which novel?,The Fault in Our Stars,When Dimple Met Rishi,I Too Had a Love Story,One Indian Girl,Option B,4,
Divyansh,Gen Z,Web series,What is the name of Manoj Bajpayee's character in The Family Man?,Kabir Sawant,Akhilesh Singh,Vikram Malhotra,Srikant Tiwari,Option D,2,
Divyansh,Gen Z,Streaming,"In Stranger Things, what is the name of the town where the story begins?",Riverton,Hillview,Hawkins,Rosewood,Option C,4,
Divyansh,Gen Z,Streaming,"What is the name of the giant doll in Squid Game's Red Light, Green Light?",Min-ji,Bok-hee,Young-hee,Soo-yeon,Option C,4,
Divyansh,Gen Z,Streaming,Crunchyroll is primarily known for streaming what?,Stand-up specials,Live sports,True crime documentaries,Anime,Option D,4,
Divyansh,Gen Z,Meme culture,"Cheems, the meme dog, belonged to which breed?",Beagle,Shiba Inu,Pug,Corgi,Option B,4,
Divyansh,Gen Z,Slang,"What is a ""canon event"" in meme culture?",An officially verified rumor,A defining moment that is treated as unavoidable,A crossover post between fandoms,A celebrity scandal with proof,Option B,4,
Divyansh,Nostalgia,Ads,"Which detergent brand used the famous line ""Daag Achhe Hain""?",Rin,Surf Excel,Wheel,Ariel,Option B,3,
Divyansh,Nostalgia,TV shows,"In Shaka Laka Boom Boom, which item had magical powers?",Eraser,Compass box,School bag,Pencil,Option D,1,
Divyansh,Nostalgia,TV shows,"In Sarabhai vs Sarabhai, Rosesh is most obsessed with writing what?",Screenplays,Ghazals,Poetry,Stand-up jokes,Option C,2,
Divyansh,Nostalgia,Ads,Vicco Turmeric was famously described in ads as an Ayurvedic what?,Oil,Cream,Soap,Powder,Option B,1,
Divyansh,Nostalgia,Ads,"Which company was behind the iconic campaign ""Hamara Bajaj""?",Hero Honda,TVS,LML,Bajaj Auto,Option D,1,
Divyansh,Nostalgia,Ads,The famous Titan ad tune is adapted from which composer's work?,Vivaldi,Beethoven,Chopin,Mozart,Option D,5,audio
Divyansh,Nostalgia,Internet culture,What is the name of the default Windows XP wallpaper image?,Horizon,Meadow,Greenscape,Bliss,Option D,4,img
Divyansh,Gen Z,Slang,"What does ""delulu"" usually mean in internet slang?",Delusional in a playful way,Deleted unexpectedly,Deeply unlucky,Deliberately rude online,Option A,1,
Divyansh,Gen Z,Creators,What is CarryMinati's first name?,Ajey,Ankit,Aviral,Aman,Option A,1,
Divyansh,Gen Z,Streaming,What is the name of the school Wednesday Addams attends?,Nightshade Academy,Nevermore Academy,Ravencrest School,Blackwood Hall,Option B,4,
